Date,FundCode,Subscriptions,Redemptions
2026-04-01,EQGL,383789.89,336318.6
2026-04-02,EQGL,213217.24,178372.31
2026-04-03,EQGL,0.0,710316.68
2026-04-06,EQGL,608240.98,0.0
2026-04-07,EQGL,111124.81,297064.86
2026-04-08,EQGL,1169973.41,0.0
2026-04-09,EQGL,1107419.14,612873.17
2026-04-10,EQGL,215284.75,1216957.36
2026-04-13,EQGL,54370.03,913163.23
2026-04-14,EQGL,804459.99,1161321.78
2026-04-15,EQGL,1162519.21,1420955.7
2026-04-16,EQGL,826878.33,1544940.94
2026-04-17,EQGL,622763.02,292076.99
2026-04-20,EQGL,1657553.17,142539.71
2026-04-21,EQGL,163858.41,846048.39
2026-04-22,EQGL,266271.53,0.0
2026-04-23,EQGL,0.0,209119.89
2026-04-24,EQGL,1961322.31,615062.07
2026-04-27,EQGL,602811.28,2175931.12
2026-04-28,EQGL,1408260.17,1008818.33
2026-04-29,EQGL,994621.68,1989890.74
2026-04-30,EQGL,0.0,542759.95
2026-05-01,EQGL,0.0,276354.05
2026-05-04,EQGL,0.0,621920.29
2026-05-05,EQGL,946324.52,698543.55
2026-05-06,EQGL,776045.92,8812.33
2026-05-07,EQGL,0.0,1032791.7
2026-05-08,EQGL,1169612.76,1789612.81
2026-05-11,EQGL,500636.33,728665.65
2026-05-12,EQGL,361095.32,2351155.37
2026-05-13,EQGL,391743.69,982948.34
2026-05-14,EQGL,225792.88,1080063.98
2026-05-15,EQGL,0.0,600840.52
2026-05-18,EQGL,1363790.12,1214693.0
2026-05-19,EQGL,941195.48,3123562.88
2026-05-20,EQGL,323439.68,1013617.01
2026-05-21,EQGL,2280105.97,0.0
2026-05-22,EQGL,605824.33,0.0
2026-05-26,EQGL,591905.45,51608.56
2026-05-27,EQGL,65630.87,1077359.53
2026-05-28,EQGL,0.0,267870.16
2026-05-29,EQGL,0.0,1121981.85
2026-06-01,EQGL,1500581.89,13369.42
2026-06-02,EQGL,0.0,0.0
2026-06-03,EQGL,230606.9,585165.07
2026-06-04,EQGL,0.0,811154.57
2026-06-05,EQGL,642456.9,947573.12
2026-06-08,EQGL,445071.89,897232.33
2026-06-09,EQGL,119512.62,1075428.63
2026-06-10,EQGL,1162769.42,925406.87
2026-06-11,EQGL,542449.21,576017.28
2026-06-12,EQGL,396045.18,1245365.81
2026-06-15,EQGL,1065373.01,284398.07
2026-06-16,EQGL,0.0,1923008.12
2026-06-17,EQGL,1022345.14,924531.64
2026-06-18,EQGL,1283489.08,395706.87
2026-06-19,EQGL,0.0,662194.68
2026-06-22,EQGL,0.0,0.0
2026-06-23,EQGL,1196098.76,386921.92
2026-06-24,EQGL,798102.61,0.0
2026-06-25,EQGL,1071467.13,222367.64
2026-06-26,EQGL,576235.57,835634.83
2026-06-29,EQGL,1207006.55,621039.25
2026-06-30,EQGL,0.0,137435.08
2026-04-01,EQEM,632557.67,51275.85
2026-04-02,EQEM,717751.72,88011.1
2026-04-03,EQEM,0.0,43613.12
2026-04-06,EQEM,0.0,199448.6
2026-04-07,EQEM,0.0,683687.8
2026-04-08,EQEM,717698.55,271023.8
2026-04-09,EQEM,519079.85,714703.36
2026-04-10,EQEM,0.0,0.0
2026-04-13,EQEM,884844.98,0.0
2026-04-14,EQEM,0.0,217610.07
2026-04-15,EQEM,87841.51,0.0
2026-04-16,EQEM,81744.17,0.0
2026-04-17,EQEM,1009877.75,260024.87
2026-04-20,EQEM,507470.01,506310.13
2026-04-21,EQEM,0.0,714104.13
2026-04-22,EQEM,1424343.66,629775.04
2026-04-23,EQEM,0.0,0.0
2026-04-24,EQEM,276034.18,752660.95
2026-04-27,EQEM,0.0,183094.51
2026-04-28,EQEM,0.0,439972.51
2026-04-29,EQEM,297050.05,0.0
2026-04-30,EQEM,64441.07,505588.41
2026-05-01,EQEM,0.0,433285.83
2026-05-04,EQEM,0.0,264396.97
2026-05-05,EQEM,254418.31,0.0
2026-05-06,EQEM,653340.93,51279.87
2026-05-07,EQEM,0.0,0.0
2026-05-08,EQEM,311211.4,194914.06
2026-05-11,EQEM,97610.48,100497.66
2026-05-12,EQEM,603058.39,136825.98
2026-05-13,EQEM,0.0,128133.9
2026-05-14,EQEM,587538.88,0.0
2026-05-15,EQEM,404920.66,106386.82
2026-05-18,EQEM,108117.75,0.0
2026-05-19,EQEM,457180.5,361778.78
2026-05-20,EQEM,113722.91,376659.47
2026-05-21,EQEM,432797.78,887987.37
2026-05-22,EQEM,522424.02,229045.63
2026-05-26,EQEM,319694.86,495486.42
2026-05-27,EQEM,979113.11,706788.24
2026-05-28,EQEM,299729.67,621119.31
2026-05-29,EQEM,0.0,0.0
2026-06-01,EQEM,154088.09,817136.34
2026-06-02,EQEM,0.0,229485.45
2026-06-03,EQEM,178973.41,0.0
2026-06-04,EQEM,352687.53,198773.1
2026-06-05,EQEM,13821.37,284292.71
2026-06-08,EQEM,742543.69,0.0
2026-06-09,EQEM,0.0,845524.22
2026-06-10,EQEM,83878.46,414876.73
2026-06-11,EQEM,543477.11,399493.79
2026-06-12,EQEM,499633.67,142444.66
2026-06-15,EQEM,84547.04,605712.15
2026-06-16,EQEM,0.0,846384.82
2026-06-17,EQEM,76290.1,384105.41
2026-06-18,EQEM,143736.26,228581.54
2026-06-19,EQEM,342561.94,185261.68
2026-06-22,EQEM,351854.43,0.0
2026-06-23,EQEM,374243.06,583097.63
2026-06-24,EQEM,46567.49,256897.05
2026-06-25,EQEM,51515.38,0.0
2026-06-26,EQEM,0.0,1145642.28
2026-06-29,EQEM,64862.73,289605.35
2026-06-30,EQEM,265984.28,851843.02
2026-04-01,FIIG,895800.21,1009697.34
2026-04-02,FIIG,437767.14,800679.23
2026-04-03,FIIG,848744.21,1073983.75
2026-04-06,FIIG,764392.61,555366.49
2026-04-07,FIIG,460368.26,836811.41
2026-04-08,FIIG,548286.26,157408.48
2026-04-09,FIIG,1299729.97,0.0
2026-04-10,FIIG,1154635.26,0.0
2026-04-13,FIIG,150797.08,1269152.38
2026-04-14,FIIG,1509562.75,121421.14
2026-04-15,FIIG,0.0,0.0
2026-04-16,FIIG,1123840.91,304890.63
2026-04-17,FIIG,593861.03,724516.05
2026-04-20,FIIG,82204.94,102046.59
2026-04-21,FIIG,0.0,712020.84
2026-04-22,FIIG,1488783.37,1498751.34
2026-04-23,FIIG,912736.69,1626061.5
2026-04-24,FIIG,464533.72,1497967.37
2026-04-27,FIIG,2123452.21,116663.95
2026-04-28,FIIG,864385.46,218580.5
2026-04-29,FIIG,1177205.2,1126561.58
2026-04-30,FIIG,1267817.81,0.0
2026-05-01,FIIG,609832.2,459583.31
2026-05-04,FIIG,286559.7,562175.29
2026-05-05,FIIG,879916.94,542845.82
2026-05-06,FIIG,572164.35,16128.24
2026-05-07,FIIG,1500459.57,392944.34
2026-05-08,FIIG,771129.36,133779.79
2026-05-11,FIIG,0.0,950239.65
2026-05-12,FIIG,0.0,21006.61
2026-05-13,FIIG,0.0,1289596.17
2026-05-14,FIIG,855209.2,697938.88
2026-05-15,FIIG,427851.27,1287429.63
2026-05-18,FIIG,569011.66,27455.32
2026-05-19,FIIG,192905.51,0.0
2026-05-20,FIIG,0.0,403659.45
2026-05-21,FIIG,342815.22,447970.19
2026-05-22,FIIG,0.0,265026.43
2026-05-26,FIIG,1392782.32,981232.41
2026-05-27,FIIG,1066085.21,809292.05
2026-05-28,FIIG,1830769.05,22622.44
2026-05-29,FIIG,278414.94,683954.57
2026-06-01,FIIG,1605447.97,691176.26
2026-06-02,FIIG,319220.0,0.0
2026-06-03,FIIG,0.0,0.0
2026-06-04,FIIG,1184985.18,409125.97
2026-06-05,FIIG,1442798.15,1251774.26
2026-06-08,FIIG,129402.26,33055.72
2026-06-09,FIIG,986060.76,0.0
2026-06-10,FIIG,0.0,1121531.11
2026-06-11,FIIG,535780.59,0.0
2026-06-12,FIIG,1458492.34,937031.71
2026-06-15,FIIG,733494.17,687444.74
2026-06-16,FIIG,439602.38,409889.99
2026-06-17,FIIG,536955.6,0.0
2026-06-18,FIIG,1839266.81,349083.76
2026-06-19,FIIG,81797.71,1568934.62
2026-06-22,FIIG,583471.45,648786.84
2026-06-23,FIIG,1202380.8,1137096.0
2026-06-24,FIIG,682107.78,0.0
2026-06-25,FIIG,1531684.9,701399.38
2026-06-26,FIIG,873115.25,848496.61
2026-06-29,FIIG,373849.46,441253.95
2026-06-30,FIIG,0.0,0.0
2026-04-01,BALM,31914.42,1409402.14
2026-04-02,BALM,0.0,0.0
2026-04-03,BALM,693893.24,747665.56
2026-04-06,BALM,0.0,211240.69
2026-04-07,BALM,479825.38,1002417.08
2026-04-08,BALM,0.0,237748.52
2026-04-09,BALM,76694.3,495256.85
2026-04-10,BALM,502539.69,989238.42
2026-04-13,BALM,412211.8,363199.87
2026-04-14,BALM,0.0,16255.84
2026-04-15,BALM,39478.84,475964.24
2026-04-16,BALM,714028.87,539726.97
2026-04-17,BALM,884361.62,1389577.38
2026-04-20,BALM,0.0,1119302.25
2026-04-21,BALM,191370.09,247706.49
2026-04-22,BALM,404587.07,36289975.76
2026-04-23,BALM,0.0,520928.76
2026-04-24,BALM,23213.88,317621.23
2026-04-27,BALM,474390.19,0.0
2026-04-28,BALM,950116.02,632122.33
2026-04-29,BALM,1583774.04,530039.34
2026-04-30,BALM,752384.08,796520.2
2026-05-01,BALM,0.0,0.0
2026-05-04,BALM,429223.95,297225.19
2026-05-05,BALM,42265.33,813236.03
2026-05-06,BALM,401541.48,339686.71
2026-05-07,BALM,1104347.1,607844.27
2026-05-08,BALM,72491.7,255562.57
2026-05-11,BALM,420268.8,0.0
2026-05-12,BALM,1176867.43,920474.36
2026-05-13,BALM,70484.23,200931.84
2026-05-14,BALM,612460.1,907175.69
2026-05-15,BALM,0.0,237685.96
2026-05-18,BALM,89520.63,0.0
2026-05-19,BALM,379100.12,618004.88
2026-05-20,BALM,372910.86,0.0
2026-05-21,BALM,0.0,0.0
2026-05-22,BALM,74502.38,1207702.59
2026-05-26,BALM,769921.21,485565.39
2026-05-27,BALM,624345.63,23440.63
2026-05-28,BALM,0.0,0.0
2026-05-29,BALM,998823.34,684064.92
2026-06-01,BALM,220497.2,225355.98
2026-06-02,BALM,54944.59,782868.38
2026-06-03,BALM,664760.78,851295.97
2026-06-04,BALM,1448002.88,0.0
2026-06-05,BALM,831004.32,68204.37
2026-06-08,BALM,640343.08,691597.19
2026-06-09,BALM,593238.98,35908.19
2026-06-10,BALM,546357.83,1149147.67
2026-06-11,BALM,775724.28,524287.92
2026-06-12,BALM,279144.0,0.0
2026-06-15,BALM,0.0,554297.06
2026-06-16,BALM,0.0,650636.65
2026-06-17,BALM,759748.78,167649.92
2026-06-18,BALM,0.0,0.0
2026-06-19,BALM,95848.24,431292.77
2026-06-22,BALM,915416.26,624265.25
2026-06-23,BALM,299184.73,129623.13
2026-06-24,BALM,0.0,252399.08
2026-06-25,BALM,1167940.07,642373.93
2026-06-26,BALM,270134.2,0.0
2026-06-29,BALM,134753.7,0.0
2026-06-30,BALM,146525.17,0.0
2026-04-01,MMUS,702255.51,2227076.17
2026-04-02,MMUS,0.0,916896.58
2026-04-03,MMUS,0.0,0.0
2026-04-06,MMUS,2179893.29,406428.87
2026-04-07,MMUS,1445212.27,397337.15
2026-04-08,MMUS,1501025.27,0.0
2026-04-09,MMUS,0.0,1685782.76
2026-04-10,MMUS,0.0,702956.75
2026-04-13,MMUS,0.0,724754.2
2026-04-14,MMUS,0.0,0.0
2026-04-15,MMUS,551224.66,1873014.89
2026-04-16,MMUS,848235.55,2095588.51
2026-04-17,MMUS,1587382.7,578647.06
2026-04-20,MMUS,314580.42,1671265.13
2026-04-21,MMUS,2549845.44,1610322.83
2026-04-22,MMUS,1200160.3,0.0
2026-04-23,MMUS,0.0,1025426.77
2026-04-24,MMUS,651588.57,1051063.27
2026-04-27,MMUS,1883139.24,2955301.21
2026-04-28,MMUS,1058006.3,384797.34
2026-04-29,MMUS,2009235.85,542800.94
2026-04-30,MMUS,0.0,198245.55
2026-05-01,MMUS,348211.08,0.0
2026-05-04,MMUS,1699358.19,263426.3
2026-05-05,MMUS,0.0,1706222.34
2026-05-06,MMUS,1299266.38,224860.84
