Date,FundCode,InvestmentsMV,Cash,Receivables,Payables,AccruedMgmtFee,SharesOutstanding
2026-04-01,EQGL,623511590.52,18653622.08,3837991.46,3345468.38,18556.89,25306122.449
2026-04-02,EQGL,634467525.28,19273538.68,3833942.21,3486869.56,37439.85,25306122.449
2026-04-03,EQGL,636283108.02,18598258.81,3581504.71,3410981.76,56376.85,25306122.449
2026-04-06,EQGL,630055000.46,17882316.72,3768073.43,3343453.81,75128.49,25306122.449
2026-04-07,EQGL,626408109.82,17820499.8,3573225.02,3380582.86,93771.59,25306122.449
2026-04-08,EQGL,622387338.53,18397814.76,3548273.18,3200890.26,112295.02,25306122.449
2026-04-09,EQGL,623941750.62,17710131.29,3358244.42,3238363.67,130864.71,25306122.449
2026-04-10,EQGL,623272803.26,17578541.86,3133478.53,3127213.48,149414.5,25306122.449
2026-04-13,EQGL,625753305.1,16986564.04,3194620.34,3081827.2,168038.11,25306122.449
2026-04-14,EQGL,632975120.71,17536292.17,3104000.52,3070420.86,186876.66,25306122.449
2026-04-15,EQGL,629765356.65,17377214.14,2921044.84,2874051.93,205619.67,25306122.449
2026-04-16,EQGL,629392465.44,17745894.52,2973941.9,2774902.13,224351.59,25306122.449
2026-04-17,EQGL,629270308.91,18333200.56,2577718.02,2898491.28,243079.87,25306122.449
2026-04-20,EQGL,630031328.62,17604033.75,2547619.39,2955994.73,261830.81,25306122.449
2026-04-21,EQGL,624554195.6,17262969.64,2662684.22,2979574.49,280418.73,25306122.449
2026-04-22,EQGL,625346038.54,17648299.53,2560693.84,2934175.62,299030.22,25306122.449
2026-04-23,EQGL,627508061.81,17807603.98,2570317.08,2908990.74,317706.05,25306122.449
2026-04-24,EQGL,625267946.08,17443050.38,2536938.18,2959239.66,336315.22,25306122.449
2026-04-27,EQGL,627164417.71,17467942.2,2255820.45,2964224.34,354980.83,25306122.449
2026-04-28,EQGL,625962789.12,17547728.58,2246283.57,2782973.22,373610.67,25306122.449
2026-04-29,EQGL,748368624.1,17359341.24,2478897.72,2595269.22,392406.35,25306122.449
2026-04-30,EQGL,624779872.11,16961380.61,2467326.12,2492015.73,411000.99,25306122.449
2026-05-01,EQGL,617604062.32,16942068.94,2302706.41,2693133.07,429382.06,25306122.449
2026-05-04,EQGL,623254330.05,16636781.76,2357796.85,2913295.48,447931.3,25306122.449
