Date,FundCode,FundName,Strategy,InvestmentsMV,Cash,Receivables,Payables,AccruedMgmtFee,SharesOutstanding,TotalAssets,TotalLiabilities,NetAssets,NAVPerShare,PriorNAV,NAVChangePct,ToleranceBps,NetFlow,BreachFlag,StalePriceFlag,NegCashFlag,LargeFlowFlag,FlagCount,PrimaryException
2026-04-01,BALM,Balanced Multi-Asset,Balanced,428217675.85,12506588.01,2738059.63,2244869.55,10195.66,23369565.2174,443462323.49,2255065.21,441207258.28,18.879566,,,300,-1377487.72,,,,,0,
2026-04-02,BALM,Balanced Multi-Asset,Balanced,431162102.86,12508550.39,2498250.78,2497369.51,20461.42,23369565.2174,446168904.03,2517830.93,443651073.1,18.984139,18.879566,0.005539,300,0.0,,,,,0,
2026-04-03,BALM,Balanced Multi-Asset,Balanced,434246411.88,13233702.28,2660389.69,2574004.51,30800.62,23369565.2174,450140503.85,2604805.13,447535698.72,19.150365,18.984139,0.008756,300,-53772.32,,,,,0,
2026-04-06,BALM,Balanced Multi-Asset,Balanced,436574282.88,13378300.94,2685569.24,2581244.64,41195.25,23369565.2174,452638153.06,2622439.89,450015713.17,19.256486,19.150365,0.005541,300,-211240.69,,,,,0,
2026-04-07,BALM,Balanced Multi-Asset,Balanced,431635708.17,13201496.04,2552779.1,2437721.68,51472.29,23369565.2174,447389983.31,2489193.97,444900789.34,19.037615,19.256486,-0.011366,300,-522591.7,,,,,0,
2026-04-08,BALM,Balanced Multi-Asset,Balanced,434417407.33,12877222.1,2466051.82,2551516.67,61815.56,23369565.2174,449760681.25,2613332.23,447147349.02,19.133747,19.037615,0.00505,300,-237748.52,,,,,0,
2026-04-09,BALM,Balanced Multi-Asset,Balanced,436129165.82,12674568.97,2486798.7,2421936.77,72199.59,23369565.2174,451290533.49,2494136.36,448796397.13,19.204311,19.133747,0.003688,300,-418562.55,,,,,0,
2026-04-10,BALM,Balanced Multi-Asset,Balanced,431492084.66,12653845.24,2458324.51,2453400.68,82473.21,23369565.2174,446604254.41,2535873.89,444068380.52,19.001996,19.204311,-0.010535,300,-486698.73,,,,,0,
2026-04-13,BALM,Balanced Multi-Asset,Balanced,431945810.08,12555863.14,2473587.72,2512302.57,92757.63,23369565.2174,446975260.94,2605060.2,444370200.74,19.014911,19.001996,0.00068,300,49011.93,,,,,0,
2026-04-14,BALM,Balanced Multi-Asset,Balanced,429970287.13,12327421.73,2317535.8,2681356.29,102995.02,23369565.2174,444615244.66,2784351.31,441830893.35,18.906252,19.014911,-0.005714,300,-16255.84,,,,,0,
2026-04-15,BALM,Balanced Multi-Asset,Balanced,427955803.5,12499458.52,2276383.64,2796948.51,113184.45,23369565.2174,442731645.66,2910132.96,439821512.7,18.820269,18.906252,-0.004548,300,-436485.4,,,,,0,
2026-04-16,BALM,Balanced Multi-Asset,Balanced,425610451.65,12978755.72,2142599.21,2813267.33,123318.03,23369565.2174,440731806.58,2936585.36,437795221.22,18.733563,18.820269,-0.004607,300,174301.9,,,,,0,
2026-04-17,BALM,Balanced Multi-Asset,Balanced,425159323.26,12931882.12,2144798.6,2795285.57,133440.87,23369565.2174,440236003.98,2928726.44,437307277.54,18.712684,18.733563,-0.001115,300,-505215.76,,,,,0,
2026-04-20,BALM,Balanced Multi-Asset,Balanced,423632599.88,12537268.54,2128120.95,3047531.61,143527.36,23369565.2174,438297989.37,3191058.97,435106930.4,18.618529,18.712684,-0.005032,300,-1119302.25,,,,,0,
2026-04-21,BALM,Balanced Multi-Asset,Balanced,428550281.96,12540461.5,2211346.04,3250392.43,153730.94,23369565.2174,443302089.5,3404123.37,439897966.13,18.823541,18.618529,0.011011,300,-56336.4,,,,,0,
2026-04-22,BALM,Balanced Multi-Asset,Balanced,426940891.28,12233421.98,2136512.73,3112773.77,163896.2,23369565.2174,441310825.99,3276669.97,438034156.02,18.743787,18.823541,-0.004237,300,-35885388.69,,,,LARGE FLOW,1,LARGE FLOW
2026-04-23,BALM,Balanced Multi-Asset,Balanced,427705006.26,11856038.06,2174301.13,3203905.92,174079.65,23369565.2174,441735345.45,3377985.57,438357359.88,18.757617,18.743787,0.000738,300,-520928.76,,,,,0,
2026-04-24,BALM,Balanced Multi-Asset,Balanced,431361092.45,11644310.0,2366043.22,3274673.03,184350.15,23369565.2174,445371445.67,3459023.18,441912422.49,18.909741,18.757617,0.00811,300,-294407.35,,,,,0,
2026-04-27,BALM,Balanced Multi-Asset,Balanced,433085080.11,11710598.0,2431497.93,3192065.46,194661.7,23369565.2174,447227176.04,3386727.16,443840448.88,18.992242,18.909741,0.004363,300,474390.19,,,,,0,
2026-04-28,BALM,Balanced Multi-Asset,Balanced,432844138.76,11469332.28,2353736.44,3318698.16,204967.51,23369565.2174,446667207.48,3523665.67,443143541.81,18.962421,18.992242,-0.00157,300,317993.69,,,,,0,
2026-04-29,BALM,Balanced Multi-Asset,Balanced,429715659.58,11304855.68,2461833.17,3309327.03,215198.84,23369565.2174,443482348.43,3524525.87,439957822.56,18.826102,18.962421,-0.007189,300,1053734.7,,,,,0,
2026-04-30,BALM,Balanced Multi-Asset,Balanced,430362783.0,11242060.72,2479333.58,3298562.5,225445.57,23369565.2174,444084177.3,3524008.07,440560169.23,18.851877,18.826102,0.001369,300,-44136.12,,,,,0,
2026-05-01,BALM,Balanced Multi-Asset,Balanced,428148683.4,10842243.99,2277897.54,3333791.29,235639.59,23369565.2174,441268824.93,3569430.88,437699394.05,18.729462,18.851877,-0.006493,300,0.0,,,,,0,
2026-05-04,BALM,Balanced Multi-Asset,Balanced,429365625.18,11515306.25,2283746.49,3429671.62,245862.58,23369565.2174,443164677.92,3675534.2,439489143.72,18.806047,18.729462,0.004089,300,131998.76,,,,,0,
2026-05-05,BALM,Balanced Multi-Asset,Balanced,432134913.27,11514314.09,2326207.91,3457079.31,256151.51,23369565.2174,445975435.27,3713230.82,442262204.45,18.924708,18.806047,0.00631,300,-770970.7,,,,,0,
2026-05-06,BALM,Balanced Multi-Asset,Balanced,431707217.96,11307161.69,2379493.25,3360567.72,266430.25,23369565.2174,445393872.9,3626997.97,441766874.93,18.903513,18.924708,-0.00112,300,61854.77,,,,,0,
2026-05-07,BALM,Balanced Multi-Asset,Balanced,434981324.29,11516807.14,2394926.83,3471425.7,276786.95,23369565.2174,448893058.26,3748212.65,445144845.61,19.048059,18.903513,0.007647,300,496502.83,,,,,0,
2026-05-08,BALM,Balanced Multi-Asset,Balanced,435098942.29,11177454.12,2284351.26,3440491.66,287146.45,23369565.2174,448560747.67,3727638.11,444833109.56,19.034719,19.048059,-0.0007,300,-183070.87,,,,,0,
2026-05-11,BALM,Balanced Multi-Asset,Balanced,435353570.67,11322357.57,2278322.05,3482828.57,297512.01,23369565.2174,448954250.29,3780340.58,445173909.71,19.049302,19.034719,0.000766,300,420268.8,,,,,0,
2026-05-12,BALM,Balanced Multi-Asset,Balanced,432659828.87,11214896.16,2138612.26,3461278.63,307813.43,23369565.2174,446013337.29,3769092.06,442244245.23,18.92394,19.049302,-0.006581,300,256393.07,,,,,0,
2026-05-13,BALM,Balanced Multi-Asset,Balanced,432118393.37,11587363.82,2151354.04,3421988.5,318101.97,23369565.2174,445857111.23,3740090.47,442117020.76,18.918496,18.92394,-0.000288,300,-130447.61,,,,,0,
2026-05-14,BALM,Balanced Multi-Asset,Balanced,431064196.32,11603171.46,2162717.84,3413955.33,328365.4,23369565.2174,444830085.62,3742320.73,441087764.89,18.874453,18.918496,-0.002328,300,-294715.59,,,,,0,
2026-05-15,BALM,Balanced Multi-Asset,Balanced,433933776.93,11293804.97,1911139.15,3471470.22,338697.16,23369565.2174,447138721.05,3810167.38,443328553.67,18.970338,18.874453,0.00508,300,-237685.96,,,,,0,
2026-05-18,BALM,Balanced Multi-Asset,Balanced,430567853.05,10740676.63,1952267.63,3444542.82,348948.77,23369565.2174,443260797.31,3793491.59,439467305.72,18.805113,18.970338,-0.00871,300,89520.63,,,,,0,
2026-05-19,BALM,Balanced Multi-Asset,Balanced,429054638.58,10803792.12,1793118.33,3432437.11,359164.36,23369565.2174,441651549.03,3791601.47,437859947.56,18.736333,18.805113,-0.003658,300,-238904.76,,,,,0,
2026-05-20,BALM,Balanced Multi-Asset,Balanced,429489333.79,10563984.31,1918274.55,3419573.85,369390.29,23369565.2174,441971592.65,3788964.14,438182628.51,18.75014,18.736333,0.000737,300,372910.86,,,,,0,
2026-05-21,BALM,Balanced Multi-Asset,Balanced,428280613.66,10306887.57,1895099.25,3426244.91,379587.45,23369565.2174,440482600.48,3805832.36,436676768.12,18.685704,18.75014,-0.003437,300,0.0,,,,,0,
2026-05-22,BALM,Balanced Multi-Asset,Balanced,432650771.15,10357720.19,1844962.8,3461206.17,389888.66,23369565.2174,444853454.14,3851094.83,441002359.31,18.870799,18.685704,0.009906,300,-1133200.21,,,,,0,
2026-05-26,BALM,Balanced Multi-Asset,Balanced,434731776.34,10280273.39,2078920.98,3414656.56,400239.42,23369565.2174,447090970.71,3814895.98,443276074.73,18.968093,18.870799,0.005156,300,284355.82,,,,,0,
2026-05-27,BALM,Balanced Multi-Asset,Balanced,438666899.15,10784318.76,2101108.44,3366245.62,410683.87,23369565.2174,451552326.35,3776929.49,447775396.86,19.160622,18.968093,0.01015,300,600905.0,,,,,0,
2026-05-28,BALM,Balanced Multi-Asset,Balanced,444760435.65,10970559.4,2091299.67,3432719.49,421273.4,23369565.2174,457822294.72,3853992.89,453968301.83,19.42562,19.160622,0.01383,300,0.0,,,,,0,
2026-05-29,BALM,Balanced Multi-Asset,Balanced,448479884.7,10885541.83,1996104.38,3519189.39,431951.49,23369565.2174,461361530.91,3951140.88,457410390.03,19.57291,19.42562,0.007582,300,314758.42,,,,,0,
2026-06-01,BALM,Balanced Multi-Asset,Balanced,451607190.67,10756383.6,1855919.48,3612857.53,442704.05,23369565.2174,464219493.75,4055561.58,460163932.17,19.690736,19.57291,0.00602,300,-4858.78,,,,,0,
2026-06-02,BALM,Balanced Multi-Asset,Balanced,455776301.88,11007793.4,1922920.69,3646210.42,453555.86,23369565.2174,468707015.97,4099766.28,464607249.69,19.880868,19.690736,0.009656,300,-727923.79,,,,,0,
2026-06-03,BALM,Balanced Multi-Asset,Balanced,456044156.71,11087756.52,2091342.56,3648353.25,464414.06,23369565.2174,469223255.79,4112767.31,465110488.48,19.902402,19.880868,0.001083,300,-186535.19,,,,,0,
2026-06-04,BALM,Balanced Multi-Asset,Balanced,455003610.53,10833351.77,1972476.72,3425301.04,475247.48,23369565.2174,467809439.02,3900548.52,463908890.5,19.850985,19.902402,-0.002583,300,1448002.88,,,,,0,
