Fund,SecurityID,SecurityName,AssetClass,Quantity,Price,MarketValue,Key
EQGL,EQ0023,Global Equity Holding 03,Equity,21251,150.81,3204863.31,EQGL|EQ0023
EQGL,EQ0028,Global Equity Holding 08,Equity,27067,460.85,12473826.95,EQGL|EQ0028
EQGL,EQ0035,Global Equity Holding 15,Equity,11184,89.94,1005888.96,EQGL|EQ0035
EQGL,EQ0016,TSMC ADR,Equity,5468,273.99,1498177.32,EQGL|EQ0016
EQGL,EQ0019,JPMorgan Chase,Equity,18957,153.64,2912553.48,EQGL|EQ0019
EQGL,EQ0030,Global Equity Holding 10,Equity,55299,222.17,12285778.83,EQGL|EQ0030
EQGL,EQ0033,Global Equity Holding 13,Equity,25416,473.73,12040321.68,EQGL|EQ0033
EQGL,EQ0031,Global Equity Holding 11,Equity,47717,181.2,8646320.4,EQGL|EQ0031
EQGL,EQ0011,SAP SE,Equity,18370,254.3,4671491.0,EQGL|EQ0011
EQGL,EQ0002,Microsoft Corp,Equity,37583,323.92,12173885.36,EQGL|EQ0002
EQGL,EQ0042,Global Equity Holding 22,Equity,15918,209.37,3332751.66,EQGL|EQ0042
EQGL,EQ0014,Siemens AG,Equity,40202,224.97,9044243.94,EQGL|EQ0014
EQGL,EQ0041,Global Equity Holding 21,Equity,47013,336.51,15820344.63,EQGL|EQ0041
EQGL,EQ0018,Amazon.com,Equity,44332,247.69,10980593.08,EQGL|EQ0018
EQGL,ET0082,Vanguard S&P 500,ETF,57262,42.14,2413020.68,EQGL|ET0082
EQGL,EQ0037,Global Equity Holding 17,Equity,39122,278.62,10900171.64,EQGL|EQ0037
EQGL,EQ0044,Global Equity Holding 24,Equity,52177,90.35,4714191.95,EQGL|EQ0044
EQGL,EQ0021,Global Equity Holding 01,Equity,27150,324.95,8822392.5,EQGL|EQ0021
EQGL,EQ0038,Global Equity Holding 18,Equity,39871,406.55,16209555.05,EQGL|EQ0038
EQGL,EQ0034,Global Equity Holding 14,Equity,32187,43.04,1385328.48,EQGL|EQ0034
