TradeID,TradeDate,TradeTime,Symbol,AssetClass,Side,Quantity,Price,GrossNotional,Fees,Venue,ClearingMember,Key
T100001,2026-06-30,09:19:04,HINDUNILVR,Equity,SELL,300,2366.59,709977.0,248.49,NSE,QE-CLEARING,T100001
T100002,2026-06-30,10:54:01,HDFCBANK,Equity,SELL,250,1681.46,420365.0,147.13,NSE,QE-CLEARING,T100002
T100003,2026-06-30,13:12:42,HINDUNILVR,Equity,SELL,50,2356.8,117840.0,41.24,BSE,QE-CLEARING,T100003
T100004,2026-06-30,09:28:33,MARUTI,Equity,BUY,75,12605.02,945376.5,330.88,BSE,QE-CLEARING,T100004
T100005,2026-06-30,11:18:51,ITC,Equity,BUY,200,447.27,89454.0,31.31,BSE,QE-CLEARING,T100005
T100006,2026-06-30,10:53:38,BHARTIARTL,Equity,SELL,150,1584.58,237687.0,83.19,NSE,QE-CLEARING,T100006
T100007,2026-06-30,15:55:39,KOTAKBANK,Equity,SELL,200,1787.84,357568.0,125.15,BSE,QE-CLEARING,T100007
T100008,2026-06-30,11:07:14,RELIANCE,Equity,SELL,75,1424.09,106806.75,37.38,NSE,QE-CLEARING,T100008
T100009,2026-06-30,10:41:48,ITC,Equity,BUY,200,446.63,89326.0,31.26,NSE,QE-CLEARING,T100009
T100010,2026-06-30,11:48:51,SBIN,Equity,BUY,500,815.39,407695.0,142.69,BSE,QE-CLEARING,T100010
T100011,2026-06-30,12:29:09,RELIANCE,Equity,BUY,200,1418.74,283748.0,99.31,BSE,QE-CLEARING,T100011
T100012,2026-06-30,11:44:38,INFY,Equity,SELL,50,1558.76,77938.0,27.28,BSE,QE-CLEARING,T100012
T100013,2026-06-30,11:07:00,SUNPHARMA,Equity,BUY,500,1726.41,863205.0,302.12,NSE,QE-CLEARING,T100013
T100014,2026-06-30,09:44:46,TATAMOTORS,Equity,BUY,50,982.34,49117.0,17.19,BSE,QE-CLEARING,T100014
T100015,2026-06-30,12:04:44,KOTAKBANK,Equity,SELL,150,1788.7,268305.0,93.91,BSE,QE-CLEARING,T100015
T100016,2026-06-30,10:02:17,HINDUNILVR,Equity,BUY,150,2362.07,354310.5,124.01,BSE,QE-CLEARING,T100016
T100017,2026-06-30,14:16:52,TCS,Equity,BUY,300,3894.51,1168353.0,408.92,BSE,QE-CLEARING,T100017
T100018,2026-06-30,10:06:57,ITC,Equity,SELL,75,447.76,33582.0,11.75,NSE,QE-CLEARING,T100018
T100019,2026-06-30,14:44:46,TATAMOTORS,Equity,BUY,300,985.76,295728.0,103.5,NSE,QE-CLEARING,T100019
T100020,2026-06-30,11:06:04,HINDUNILVR,Equity,BUY,75,2355.69,176676.75,61.84,NSE,QE-CLEARING,T100020
T100021,2026-06-30,09:19:29,ICICIBANK,Equity,SELL,500,1242.12,621060.0,217.37,NSE,QE-CLEARING,T100021
T100022,2026-06-30,11:08:54,KOTAKBANK,Equity,BUY,500,1789.76,894880.0,313.21,BSE,QE-CLEARING,T100022
T100023,2026-06-30,13:36:50,LT,Equity,BUY,250,3619.7,904925.0,316.72,NSE,QE-CLEARING,T100023
T100024,2026-06-30,09:49:35,RELIANCE,Equity,BUY,50,1417.53,70876.5,24.81,BSE,QE-CLEARING,T100024
T100025,2026-06-30,12:08:45,HINDUNILVR,Equity,SELL,100,2369.34,236934.0,82.93,BSE,QE-CLEARING,T100025
T100026,2026-06-30,09:06:13,TCS,Equity,SELL,300,3900.36,1170108.0,409.54,NSE,QE-CLEARING,T100026
T100027,2026-06-30,14:46:49,TATAMOTORS,Equity,SELL,50,986.06,49303.0,17.26,NSE,QE-CLEARING,T100027
T100028,2026-06-30,12:04:49,AXISBANK,Equity,BUY,500,1130.21,565105.0,197.79,NSE,QE-CLEARING,T100028
T100029,2026-06-30,12:18:14,KOTAKBANK,Equity,BUY,250,1797.58,449395.0,157.29,NSE,QE-CLEARING,T100029
T100030,2026-06-30,15:48:16,LT,Equity,SELL,50,3626.46,181323.0,63.46,NSE,QE-CLEARING,T100030
T100031,2026-06-30,09:37:41,HDFCBANK,Equity,BUY,300,1679.6,503880.0,176.36,NSE,QE-CLEARING,T100031
T100032,2026-06-30,14:54:58,TCS,Equity,SELL,150,3880.43,582064.5,203.72,NSE,QE-CLEARING,T100032
T100033,2026-06-30,14:00:59,ITC,Equity,BUY,250,447.57,111892.5,39.16,NSE,QE-CLEARING,T100033
T100034,2026-06-30,09:28:50,ITC,Equity,SELL,50,448.36,22418.0,7.85,NSE,QE-CLEARING,T100034
T100035,2026-06-30,10:13:33,ITC,Equity,BUY,150,449.26,67389.0,23.59,BSE,QE-CLEARING,T100035
T100036,2026-06-30,15:14:31,KOTAKBANK,Equity,SELL,150,1800.74,270111.0,94.54,NSE,QE-CLEARING,T100036
T100037,2026-06-30,13:06:28,TATAMOTORS,Equity,SELL,500,982.38,491190.0,171.92,BSE,QE-CLEARING,T100037
T100038,2026-06-30,13:51:50,HDFCBANK,Equity,SELL,150,1691.53,253729.5,88.81,NSE,QE-CLEARING,T100038
T100039,2026-06-30,11:33:07,INFY,Equity,BUY,300,1554.87,466461.0,163.26,NSE,QE-CLEARING,T100039
T100040,2026-06-30,15:16:11,HDFCBANK,Equity,BUY,50,1685.75,84287.5,29.5,BSE,QE-CLEARING,T100040
T100041,2026-06-30,15:02:37,INFY,Equity,BUY,300,1556.02,466806.0,163.38,BSE,QE-CLEARING,T100041
T100042,2026-06-30,10:24:28,ITC,Equity,SELL,200,447.93,89586.0,31.36,NSE,QE-CLEARING,T100042
T100043,2026-06-30,15:27:52,BAJFINANCE,Equity,SELL,100,7177.18,717718.0,251.2,NSE,QE-CLEARING,T100043
T100044,2026-06-30,10:00:22,TCS,Equity,BUY,300,3883.27,1164981.0,407.74,NSE,QE-CLEARING,T100044
T100045,2026-06-30,14:55:00,BAJFINANCE,Equity,SELL,250,7159.74,1789935.0,626.48,NSE,QE-CLEARING,T100045
T100046,2026-06-30,13:11:22,KOTAKBANK,Equity,SELL,200,1800.89,360178.0,126.06,NSE,QE-CLEARING,T100046
T100047,2026-06-30,14:37:42,HINDUNILVR,Equity,BUY,100,2351.96,235196.0,82.32,NSE,QE-CLEARING,T100047
T100048,2026-06-30,11:31:39,AXISBANK,Equity,SELL,250,1134.39,283597.5,99.26,BSE,QE-CLEARING,T100048
T100049,2026-06-30,09:25:12,ITC,Equity,SELL,100,449.48,44948.0,15.73,NSE,QE-CLEARING,T100049
T100050,2026-06-30,14:33:37,ITC,Equity,BUY,200,447.65,89530.0,31.34,NSE,QE-CLEARING,T100050
T100051,2026-06-30,15:56:02,AXISBANK,Equity,BUY,300,1126.03,337809.0,118.23,BSE,QE-CLEARING,T100051
T100052,2026-06-30,14:45:39,INFY,Equity,BUY,300,1554.92,466476.0,163.27,BSE,QE-CLEARING,T100052
T100053,2026-06-30,12:30:51,HINDUNILVR,Equity,SELL,100,2361.31,236131.0,82.65,NSE,QE-CLEARING,T100053
T100054,2026-06-30,10:20:27,RELIANCE,Equity,SELL,150,1416.97,212545.5,74.39,BSE,QE-CLEARING,T100054
T100055,2026-06-30,15:33:34,KOTAKBANK,Equity,BUY,100,1800.96,180096.0,63.03,BSE,QE-CLEARING,T100055
T100056,2026-06-30,14:36:50,KOTAKBANK,Equity,SELL,75,1800.54,135040.5,47.26,BSE,QE-CLEARING,T100056
T100057,2026-06-30,10:35:38,INFY,Equity,BUY,500,1561.36,780680.0,273.24,NSE,QE-CLEARING,T100057
T100058,2026-06-30,15:51:21,INFY,Equity,SELL,300,1556.38,466914.0,163.42,BSE,QE-CLEARING,T100058
T100059,2026-06-30,09:30:11,MARUTI,Equity,SELL,300,12646.97,3794091.0,1327.93,BSE,QE-CLEARING,T100059
T100060,2026-06-30,14:31:50,TCS,Equity,SELL,50,3882.75,194137.5,67.95,BSE,QE-CLEARING,T100060
T100061,2026-06-30,14:38:06,HINDUNILVR,Equity,SELL,75,2351.83,176387.25,61.74,BSE,QE-CLEARING,T100061
T100062,2026-06-30,15:27:12,INFY,Equity,SELL,150,1559.69,233953.5,81.88,NSE,QE-CLEARING,T100062
T100063,2026-06-30,12:22:56,MARUTI,Equity,SELL,150,12698.81,1904821.5,666.69,NSE,QE-CLEARING,T100063
T100064,2026-06-30,12:56:52,ITC,Equity,SELL,100,447.06,44706.0,15.65,BSE,QE-CLEARING,T100064
T100065,2026-06-30,14:23:48,TATAMOTORS,Equity,BUY,50,981.87,49093.5,17.18,NSE,QE-CLEARING,T100065
T100066,2026-06-30,11:41:40,TCS,Equity,BUY,150,3875.44,581316.0,203.46,NSE,QE-CLEARING,T100066
T100067,2026-06-30,14:43:34,SBIN,Equity,SELL,100,816.12,81612.0,28.56,BSE,QE-CLEARING,T100067
T100068,2026-06-30,14:59:35,TATAMOTORS,Equity,BUY,75,982.04,73653.0,25.78,NSE,QE-CLEARING,T100068
T100069,2026-06-30,10:36:09,RELIANCE,Equity,BUY,200,1415.15,283030.0,99.06,NSE,QE-CLEARING,T100069
T100070,2026-06-30,15:55:53,SUNPHARMA,Equity,SELL,150,1716.61,257491.5,90.12,BSE,QE-CLEARING,T100070
T100071,2026-06-30,10:52:23,LT,Equity,BUY,500,3631.74,1815870.0,635.55,BSE,QE-CLEARING,T100071
T100072,2026-06-30,13:27:09,ICICIBANK,Equity,BUY,150,1241.78,186267.0,65.19,NSE,QE-CLEARING,T100072
T100073,2026-06-30,09:42:20,TATAMOTORS,Equity,SELL,500,987.8,493900.0,172.87,BSE,QE-CLEARING,T100073
T100074,2026-06-30,15:45:17,KOTAKBANK,Equity,BUY,500,1790.51,895255.0,313.34,BSE,QE-CLEARING,T100074
T100075,2026-06-30,15:50:51,LT,Equity,SELL,500,3615.63,1807815.0,632.74,NSE,QE-CLEARING,T100075
T100076,2026-06-30,13:03:47,BHARTIARTL,Equity,BUY,50,1579.65,78982.5,27.64,NSE,QE-CLEARING,T100076
T100077,2026-06-30,15:42:10,TCS,Equity,BUY,500,3876.83,1938415.0,678.45,BSE,QE-CLEARING,T100077
T100078,2026-06-30,14:12:35,ITC,Equity,BUY,300,448.97,134691.0,47.14,NSE,QE-CLEARING,T100078
T100079,2026-06-30,09:24:03,ITC,Equity,SELL,150,446.7,67005.0,23.45,BSE,QE-CLEARING,T100079
