TradeID,Symbol,AssetClass,Venue,IntSide,ExchSide,IntQty,ExchQty,IntPrice,ExchPrice,IntFees,ExchFees,IntNotional,ExchNotional,InInternal,InExchange,BreakType,IsBreak,BreakNotional
T100001,HINDUNILVR,Equity,NSE,SELL,SELL,300,300,2366.59,2366.59,248.49,248.49,709977.0,709977.0,1,1,MATCHED,0,0.0
T100002,HDFCBANK,Equity,NSE,SELL,SELL,250,250,1681.46,1681.46,147.13,147.13,420365.0,420365.0,1,1,MATCHED,0,0.0
T100003,HINDUNILVR,Equity,BSE,SELL,SELL,50,50,2356.8,2356.8,41.24,41.24,117840.0,117840.0,1,1,MATCHED,0,0.0
T100004,MARUTI,Equity,BSE,BUY,BUY,150,75,12605.02,12605.02,661.76,330.88,1890753.0,945376.5,1,1,QTY BREAK,1,945376.5
T100005,ITC,Equity,BSE,BUY,BUY,200,200,447.27,447.27,31.31,31.31,89454.0,89454.0,1,1,MATCHED,0,0.0
T100006,BHARTIARTL,Equity,NSE,SELL,SELL,150,150,1584.58,1584.58,83.19,83.19,237687.0,237687.0,1,1,MATCHED,0,0.0
T100007,KOTAKBANK,Equity,BSE,SELL,SELL,200,200,1787.84,1787.84,125.15,125.15,357568.0,357568.0,1,1,MATCHED,0,0.0
T100008,RELIANCE,Equity,NSE,SELL,SELL,75,75,1424.09,1424.09,37.38,37.38,106806.75,106806.75,1,1,MATCHED,0,0.0
T100009,ITC,Equity,NSE,BUY,BUY,200,200,446.63,446.63,31.26,31.26,89326.0,89326.0,1,1,MATCHED,0,0.0
T100010,SBIN,Equity,BSE,BUY,BUY,500,500,815.39,815.39,142.69,142.69,407695.0,407695.0,1,1,MATCHED,0,0.0
T100011,RELIANCE,Equity,BSE,BUY,BUY,200,200,1418.74,1418.74,99.31,99.31,283748.0,283748.0,1,1,MATCHED,0,0.0
T100012,INFY,Equity,BSE,SELL,SELL,50,50,1558.76,1558.76,27.28,27.28,77938.0,77938.0,1,1,MATCHED,0,0.0
T100013,SUNPHARMA,Equity,NSE,BUY,BUY,500,500,1726.41,1726.41,302.12,302.12,863205.0,863205.0,1,1,MATCHED,0,0.0
T100014,TATAMOTORS,Equity,BSE,BUY,BUY,50,50,982.34,982.34,17.19,17.19,49117.0,49117.0,1,1,MATCHED,0,0.0
T100015,KOTAKBANK,Equity,BSE,SELL,SELL,150,150,1788.7,1788.7,93.91,93.91,268305.0,268305.0,1,1,MATCHED,0,0.0
T100016,HINDUNILVR,Equity,BSE,BUY,BUY,150,150,2362.07,2362.07,124.01,124.01,354310.5,354310.5,1,1,MATCHED,0,0.0
T100017,TCS,Equity,BSE,BUY,BUY,300,300,3894.51,3894.51,408.92,408.92,1168353.0,1168353.0,1,1,MATCHED,0,0.0
T100018,ITC,Equity,NSE,SELL,SELL,75,75,447.76,447.76,11.75,11.75,33582.0,33582.0,1,1,MATCHED,0,0.0
T100019,TATAMOTORS,Equity,NSE,BUY,BUY,300,300,985.76,985.76,103.5,103.5,295728.0,295728.0,1,1,MATCHED,0,0.0
T100020,HINDUNILVR,Equity,NSE,BUY,BUY,75,75,2355.69,2355.69,61.84,61.84,176676.75,176676.75,1,1,MATCHED,0,0.0
T100021,ICICIBANK,Equity,NSE,SELL,SELL,500,500,1242.12,1242.12,217.37,217.37,621060.0,621060.0,1,1,MATCHED,0,0.0
T100022,KOTAKBANK,Equity,BSE,BUY,BUY,500,500,1789.76,1789.76,313.21,313.21,894880.0,894880.0,1,1,MATCHED,0,0.0
T100023,LT,Equity,NSE,BUY,BUY,250,250,3619.7,3619.7,316.72,316.72,904925.0,904925.0,1,1,MATCHED,0,0.0
T100024,RELIANCE,Equity,BSE,SELL,BUY,50,50,1417.53,1417.53,24.81,24.81,70876.5,70876.5,1,1,SIDE BREAK,1,0.0
T100025,HINDUNILVR,Equity,BSE,SELL,SELL,100,100,2369.34,2369.34,82.93,82.93,236934.0,236934.0,1,1,MATCHED,0,0.0
T100026,TCS,Equity,NSE,SELL,SELL,300,300,3900.36,3900.36,409.54,409.54,1170108.0,1170108.0,1,1,MATCHED,0,0.0
T100027,TATAMOTORS,Equity,NSE,SELL,SELL,50,50,986.06,986.06,17.26,17.26,49303.0,49303.0,1,1,MATCHED,0,0.0
T100028,AXISBANK,Equity,NSE,BUY,BUY,500,500,1130.21,1130.21,197.79,197.79,565105.0,565105.0,1,1,MATCHED,0,0.0
T100029,KOTAKBANK,Equity,NSE,BUY,BUY,250,250,1797.58,1797.58,157.29,157.29,449395.0,449395.0,1,1,MATCHED,0,0.0
T100030,LT,Equity,NSE,SELL,SELL,50,50,3626.46,3626.46,63.46,63.46,181323.0,181323.0,1,1,MATCHED,0,0.0
T100031,HDFCBANK,Equity,NSE,BUY,BUY,300,300,1679.6,1679.6,176.36,176.36,503880.0,503880.0,1,1,MATCHED,0,0.0
T100032,TCS,Equity,NSE,SELL,SELL,150,150,3880.43,3880.43,203.72,203.72,582064.5,582064.5,1,1,MATCHED,0,0.0
T100033,ITC,Equity,NSE,BUY,BUY,250,250,447.57,447.57,39.16,39.16,111892.5,111892.5,1,1,MATCHED,0,0.0
T100034,ITC,Equity,NSE,SELL,SELL,50,50,448.36,448.36,7.85,7.85,22418.0,22418.0,1,1,MATCHED,0,0.0
T100035,ITC,Equity,BSE,BUY,BUY,150,150,449.26,449.26,23.59,23.59,67389.0,67389.0,1,1,MATCHED,0,0.0
T100036,KOTAKBANK,Equity,NSE,SELL,SELL,150,150,1800.74,1800.74,94.54,94.54,270111.0,270111.0,1,1,MATCHED,0,0.0
T100037,TATAMOTORS,Equity,BSE,SELL,SELL,500,500,982.38,982.38,171.92,171.92,491190.0,491190.0,1,1,MATCHED,0,0.0
T100038,HDFCBANK,Equity,NSE,SELL,SELL,150,150,1691.53,1691.53,88.81,88.81,253729.5,253729.5,1,1,MATCHED,0,0.0
T100039,INFY,Equity,NSE,BUY,BUY,300,300,1554.87,1554.87,163.26,163.26,466461.0,466461.0,1,1,MATCHED,0,0.0
T100040,HDFCBANK,Equity,BSE,BUY,BUY,50,50,1685.75,1685.75,29.5,29.5,84287.5,84287.5,1,1,MATCHED,0,0.0
T100041,INFY,Equity,BSE,BUY,BUY,300,300,1556.02,1556.02,163.38,163.38,466806.0,466806.0,1,1,MATCHED,0,0.0
T100042,ITC,Equity,NSE,SELL,SELL,200,200,447.93,447.93,31.36,31.36,89586.0,89586.0,1,1,MATCHED,0,0.0
T100043,BAJFINANCE,Equity,NSE,SELL,SELL,100,100,7177.18,7177.18,251.2,251.2,717718.0,717718.0,1,1,MATCHED,0,0.0
T100044,TCS,Equity,NSE,BUY,BUY,300,300,3883.27,3883.27,407.74,407.74,1164981.0,1164981.0,1,1,MATCHED,0,0.0
T100045,BAJFINANCE,Equity,NSE,SELL,SELL,250,250,7159.74,7159.74,626.48,626.48,1789935.0,1789935.0,1,1,MATCHED,0,0.0
T100046,KOTAKBANK,Equity,NSE,SELL,SELL,200,200,1800.89,1800.89,126.06,126.06,360178.0,360178.0,1,1,MATCHED,0,0.0
T100047,HINDUNILVR,Equity,NSE,BUY,BUY,100,100,2351.96,2351.96,82.32,82.32,235196.0,235196.0,1,1,MATCHED,0,0.0
T100048,AXISBANK,Equity,BSE,SELL,SELL,250,250,1134.39,1134.39,99.26,99.26,283597.5,283597.5,1,1,MATCHED,0,0.0
T100049,ITC,Equity,NSE,SELL,SELL,100,100,449.48,449.48,15.73,15.73,44948.0,44948.0,1,1,MATCHED,0,0.0
T100050,ITC,Equity,NSE,BUY,BUY,200,200,447.65,447.65,31.34,31.34,89530.0,89530.0,1,1,MATCHED,0,0.0
T100051,AXISBANK,Equity,BSE,BUY,BUY,300,300,1126.03,1126.03,118.23,118.23,337809.0,337809.0,1,1,MATCHED,0,0.0
T100052,INFY,Equity,BSE,BUY,BUY,300,300,1554.92,1554.92,163.27,163.27,466476.0,466476.0,1,1,MATCHED,0,0.0
T100053,HINDUNILVR,Equity,NSE,SELL,SELL,100,100,2361.31,2361.31,82.65,82.65,236131.0,236131.0,1,1,MATCHED,0,0.0
T100054,RELIANCE,Equity,BSE,SELL,SELL,150,150,1416.97,1416.97,74.39,74.39,212545.5,212545.5,1,1,MATCHED,0,0.0
T100055,KOTAKBANK,Equity,BSE,BUY,BUY,100,100,1800.96,1800.96,63.03,63.03,180096.0,180096.0,1,1,MATCHED,0,0.0
T100056,KOTAKBANK,Equity,BSE,SELL,SELL,75,75,1800.54,1800.54,47.26,47.26,135040.5,135040.5,1,1,MATCHED,0,0.0
T100057,INFY,Equity,NSE,BUY,BUY,500,500,1561.36,1561.36,273.24,273.24,780680.0,780680.0,1,1,MATCHED,0,0.0
T100058,INFY,Equity,BSE,SELL,SELL,300,300,1556.38,1556.38,163.42,163.42,466914.0,466914.0,1,1,MATCHED,0,0.0
T100059,MARUTI,Equity,BSE,SELL,SELL,300,300,12646.97,12646.97,1327.93,1327.93,3794091.0,3794091.0,1,1,MATCHED,0,0.0
T100060,TCS,Equity,BSE,SELL,SELL,50,50,3882.75,3882.75,67.95,67.95,194137.5,194137.5,1,1,MATCHED,0,0.0
T100061,HINDUNILVR,Equity,BSE,SELL,SELL,75,75,2351.83,2351.83,61.74,61.74,176387.25,176387.25,1,1,MATCHED,0,0.0
T100062,INFY,Equity,NSE,SELL,SELL,150,150,1559.69,1559.69,81.88,81.88,233953.5,233953.5,1,1,MATCHED,0,0.0
T100063,MARUTI,Equity,NSE,SELL,SELL,150,150,12698.81,12698.81,666.69,666.69,1904821.5,1904821.5,1,1,MATCHED,0,0.0
T100064,ITC,Equity,BSE,SELL,SELL,100,100,447.06,447.06,15.65,15.65,44706.0,44706.0,1,1,MATCHED,0,0.0
T100065,TATAMOTORS,Equity,NSE,BUY,BUY,50,50,981.87,981.87,17.18,17.18,49093.5,49093.5,1,1,MATCHED,0,0.0
T100066,TCS,Equity,NSE,BUY,BUY,150,150,3875.44,3875.44,203.46,203.46,581316.0,581316.0,1,1,MATCHED,0,0.0
T100067,SBIN,Equity,BSE,SELL,SELL,100,100,816.12,816.12,28.56,28.56,81612.0,81612.0,1,1,MATCHED,0,0.0
T100068,TATAMOTORS,Equity,NSE,BUY,BUY,75,75,982.04,982.04,25.78,25.78,73653.0,73653.0,1,1,MATCHED,0,0.0
T100069,RELIANCE,Equity,NSE,BUY,BUY,200,200,1415.15,1415.15,99.06,99.06,283030.0,283030.0,1,1,MATCHED,0,0.0
